Reporting org id,Reporting org name
#org+id+reporting,#org+name+reporting
dk-cvr-20074035,ADRA Danmark
xm-dac-50-21,AECID Spanish Agency for International Development Cooperation
xm-dac-6-4,AICS - Italian Agency for Cooperation and Development
gb-chc-1047501,Action Against Hunger
gb-chc-274467,ActionAid UK
xm-dac-46002,African Development Bank
gb-chc-1128267-8,Age International UK (HelpAge International UK)
ca_ab-abt-203435797,Alinea International Ltd
dac-1601,Bill and Melinda Gates Foundation
gb-chc-220949,British Red Cross
gb-chc-285776,CAFOD
gb-chc-292506,CARE International UK
nl-kvk-41158230,CARE Nederland
dk-cvr-19348407,CISU Civil Society in Development
gb-chc-1105851,Christian Aid
nl-kvk-41160054,Cordaid
dk-cvr-36980214,DanChurchAid
dk-cvr-12006004,Danish Mission Council Development Organisation
dk-cvr-20699310,Danish Refugee Council
xm-dac-2-10,Directorate-general Development Cooperation and Humanitarian Aid
gb-chc-1062638,Disasters Emergency Committee
nl-kvk-41236410,Dorcas Aid International
gb-chc-1177110,Elrha
xi-iati-ebrd,European Bank for Reconstruction and Development
xi-iati-ec_echo,European Commission - Humanitarian Aid & Civil Protection
xi-iati-ec_intpa,European Commission - International Partnerships
xi-iati-ec_near,European Commission - Neighbourhood and Enlargement Negotiations
xi-iati-ec_fpi,European Commission – Service for Foreign Policy Instruments
xm-dac-918-3,European Investment Bank
de-1,Federal Ministry for Economic Cooperation and Development (BMZ)
xm-dac-41301,Food and Agriculture Organization (FAO)
ca-3,"Foreign Affairs, Trade and Development Canada (DFATD)"
47122,"Gavi, The Vaccine Alliance"
xm-dac-5-7,Germany - Federal Foreign Office
xi-bridge-6385676864,Global Environment Facility
us-ein-300108263,GlobalGiving
gb-coh-2153193,International Alert
xm-dac-21016,International Committee of the Red Cross
xm-dac-47059,International Development Law Organization (IDLO)
xm-dac-21018,International Federation of Red Cross and Red Crescent Societies
xm-dac-903,International Finance Corporation
xm-dac-47058,International IDEA
xm-dac-41302,International Labour Organization (ILO)
dk-cvr-26487013,International Media Support
xm-dac-47066,International Organization for Migration (IOM)
us-ein-13-5660870,International Rescue Committee Inc.
xm-dac-45001,International Trade Centre (ITC)
xm-ocha-hpc6770,King Salman Humanitarian Aid and Relief Centre
fi-3,Ministry for Foreign Affairs of Finland
xm-dac-7,Ministry of Foreign Affairs of the Netherlands
xm-dac-3-1,"Ministry of Foreign Affairs, Denmark"
nl-kvk-27378529,Netherlands Enterprise Agency
no-brc-971277882,Norad - Norwegian Agency for Development Cooperation
nl-kvk-27108436,Oxfam Novib
nl-kvk-30214009,PAX
gb-coh-1364201,Plan International UK
dk-cvr-20356731,PlanBørnefonden
nl-kvk-41201463,Save the Children Netherlands
nl-kvk-27302841,Stichting SHO - Giro555
nl-kvk-41149486,Stichting Vluchteling
se-0,Sweden
nl-kvk-41177385,Tearfund Nederland
nl-kvk-41149287,Terre des Hommes Netherlands
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria"
gb-chc-1001813,The HALO Trust
xm-dac-41110,The Joint United Nations Programme on HIV and AIDS (UNAIDS) Secretariat
nl-kvk-40409352,The Netherlands Red Cross
gb-gov-1,"UK - Foreign, Commonwealth and Development Office"
xm-dac-41146,UN Women
xm-dac-41122,UNICEF
nl-kvk-27102631,UNICEF Netherlands National Committee
xm-ocha-cerf,UNOCHA - Central Emergency Response Fund (CERF)
xm-dac-41114,United Nations Development Programme
xm-dac-41121,United Nations High Commissioner for Refugees (UNHCR)
xm-dac-41123,United Nations Industrial Development Organization
41aaa,United Nations Office for Project Services
xm-dac-41127,United Nations Office for the Coordination of Humanitarian Affairs
xm-ocha-cbpf,United Nations Office for the Coordination of Humanitarian Affairs
xm-dac-41119,United Nations Population Fund
us-gov-1,United States Agency for International Development (USAID)
gb-ukprn-10007790,University of Edinburgh
44000,World Bank
xi-iati-wbtf,World Bank Trust Funds (WBTF)
xm-dac-41140,World Food Programme
xm-dac-928,World Health Organization
de-cr-ra000209-vr1207,World Vision Germany
gb-chc-285908,World Vision United Kingdom
