Reporting org,Reporting org type,Provider org,Receiver org,Humanitarian?,Strict?,Transaction type,Transaction direction,Total money
#org+name+reporting,#org+reporting+type,#org+name+provider,#org+name+receiver,#indicator+bool+humanitarian,#indicator+bool+strict,#x_transaction_type,#x_transaction_direction,#value+total
ADD International,21,Sightsavers,,0,0,spending,incoming,97065
ADD International,21,Sightsavers,,0,1,commitments,incoming,162156
ADD International,21,Sightsavers,,0,1,spending,incoming,131689
ADRA Danmark,22,"Ministry of Foreign Affairs, Denmark",,1,0,commitments,incoming,2235636
ADRA Danmark,22,"Ministry of Foreign Affairs, Denmark",,1,0,spending,incoming,3430246
ADRA Danmark,22,"Ministry of Foreign Affairs, Denmark",,1,1,commitments,incoming,582311
ADRA Danmark,22,"Ministry of Foreign Affairs, Denmark",,1,1,spending,incoming,622395
AECID Spanish Agency for International Development Cooperation,10,,ACP - Associació Catalana per la Pa,0,1,commitments,outgoing,917722
AECID Spanish Agency for International Development Cooperation,10,,ACP - Associació Catalana per la Pa,0,1,spending,outgoing,1010959
AECID Spanish Agency for International Development Cooperation,10,,ADES Santa Marta,0,1,commitments,outgoing,103414
AECID Spanish Agency for International Development Cooperation,10,,ADES Santa Marta,0,1,spending,outgoing,109458
AECID Spanish Agency for International Development Cooperation,10,,"AIDA - Ayuda, Intercambio y Desarro",0,1,commitments,outgoing,721024
AECID Spanish Agency for International Development Cooperation,10,,"AIDA - Ayuda, Intercambio y Desarro",0,1,spending,outgoing,794277
AECID Spanish Agency for International Development Cooperation,10,,ALIANZA POR LA SOLIDARIDAD,0,1,commitments,outgoing,777145
AECID Spanish Agency for International Development Cooperation,10,,ALIANZA POR LA SOLIDARIDAD,0,1,spending,outgoing,856100
AECID Spanish Agency for International Development Cooperation,10,,ASAMBLEA DE COOPERACIÓN POR LA PAZ,0,1,commitments,outgoing,797807
AECID Spanish Agency for International Development Cooperation,10,,ASAMBLEA DE COOPERACIÓN POR LA PAZ,0,1,spending,outgoing,878861
AECID Spanish Agency for International Development Cooperation,10,,ASAMBLEA DE COOPERACIÓN POR LA PAZ,1,0,commitments,outgoing,666124
AECID Spanish Agency for International Development Cooperation,10,,ASAMBLEA DE COOPERACIÓN POR LA PAZ,1,0,spending,outgoing,733800
AECID Spanish Agency for International Development Cooperation,10,,ASOCIACIÓN AMIGOS DE SILVA,0,1,commitments,outgoing,305307
