Reporting org id,Reporting org name
xm-dac-2-10,Directorate-general Development Cooperation and Humanitarian Aid
gb-chc-1046001,Disability and Development Partners
dk-cvr-14766383,Disabled People’s Organisations Denmark
gb-chc-1062638,Disasters Emergency Committee
ch-fdjp-che110141200,Drugs for Neglected Diseases initiative
gb-sc-sc032327,EMMS International
nl-kvk-32092131,Edukans
gb-chc-1177110,Elrha
gb-coh-02622374,Energy Saving Trust
et-csa-1351,Ethiopian Public Health Association
xi-iati-ebrd,European Bank for Reconstruction and Development
xi-iati-ec_echo,European Commission - Humanitarian Aid & Civil Protection
xi-iati-ec_intpa,European Commission - International Partnerships
xi-iati-ec_near,European Commission - Neighbourhood and Enlargement Negotiations
xi-iati-ec_fpi,European Commission – Service for Foreign Policy Instruments
xm-dac-918-3,European Investment Bank
de-1,Federal Ministry for Economic Cooperation and Development (BMZ)
gb-chc-291333,Feed the Minds
ch-fdjp-f7f0b51e-7432-4c0c-a6c0-7df1101d7983,Fondation Hirondelle
xm-dac-41301,Food and Agriculture Organization (FAO)
ca-3,"Foreign Affairs, Trade and Development Canada (DFATD)"
gb-gov-1,"Foreign, Commonwealth and Development Office"
gb-chc-1107403,GOAL UK
us-ein-37-1552838,GSMA Foundation
47122,"Gavi, The Vaccine Alliance"
xm-dac-5-7,Germany - Federal Foreign Office
us-ein-27-1661997,GiveDirectly
xi-bridge-6385676864,Global Environment Facility
xm-dac-47136,Global Green Growth Institute
gb-chc-1171353,Global Innovation Fund
us-ein-300108263,GlobalGiving
ca-cra_acr-811793611,Grand Challenges Canada
at-uid-u74408937,Ground Truth Solutions
fr-rcs-519655997,Handicap International Federation
gb-coh-1762840,HelpAge International
gb-chc-1082565,Humanity & Inclusion - Handicap International UK
us-ein-522112460,IMA World Health
be-bce_kbo-0445412518,Institute for International Workers' Education
be-bce_kbo-0410057701,Instituut voor Tropische Geneeskunde
xi-iati-iadb,Inter-American Development Bank
gb-coh-2153193,International Alert
nl-kvk-41197411,International Bureau of Fiscal Documentation (IBFD)
xi-iati-iki,International Climate Initiative (IKI)
xm-dac-47059,International Development Law Organization (IDLO)
xm-dac-301-2,International Development Research Centre
xm-dac-21018,International Federation of Red Cross and Red Crescent Societies
xm-dac-903,International Finance Corporation
xm-dac-41108,International Fund for Agricultural Development
xm-dac-47058,International IDEA
gb-coh-02188452,International Institute for Environment and Development
xm-dac-41302,International Labour Organization (ILO)
gb-chc-1093861,International Medical Corps UK
xm-dac-47066,International Organization for Migration (IOM)
xm-dac-45001,International Trade Centre (ITC)
ch-fdjp-che109994012,Interpeace
gb-chc-328158,Islamic Relief Worldwide
tz-brla-36057,KPMG Advisory Limited Tanzania
nl-kvk-30258482,Kerk in Actie
xm-ocha-hpc6770,King Salman Humanitarian Aid and Relief Centre
xm-ochas-hpc6770,King Salman Humanitarian Aid and Relief Centre
at-zvr-315688676,Light for the World International
gb-coh-00070527,London School of Economics and Political Science
us-ein-82-3941326,Luminate Foundation
fr-6,MAEDI
gb-sc-sc030289,MERCY CORPS EUROPE
xm-dac-701-2,MINISTRY OF FOREIGN AFFAIRS IN JAPAN
gb-chc-1099776,Malaria Consortium
gb-coh-04105827,MannionDanniels
gb-chc-1126727,MapAction
ca-cra_acr-817387277,Mastercard Foundation
fi-3,Ministry for Foreign Affairs of Finland
xm-dac-7,Ministry of Foreign Affairs of the Netherlands
xm-dac-3-1,"Ministry of Foreign Affairs, Denmark"
xm-dac-69-1,Ministry of Foreign and European Affairs of the Slovak Republic
xm-dac-61-2,"Ministy of Foreign Affairs, Republic of Slovenia"
xi-iati-mif,Multilateral Investment Fund (MIF)
nl-kvk-27378529,Netherlands Enterprise Agency
nz-1,New Zealand Ministry of Foreign Affairs and Trade
no-brc-971277882,Norad - Norwegian Agency for Development Cooperation
no-brc-977538319,Norwegian Refugee Council
nl-kvk-41150085,Nuffic
gb-chc-228248,ODI
gb-coh-07157505,ODI Sales Limited
ng-cac-it-no96562,Olamma Cares Foundation
au-acnc-18055208636,Oxfam Australia
gb-chc-202918,Oxfam GB
nl-kvk-27108436,Oxfam Novib
gb-coh-03122495,Oxford Policy Management Ltd
ng-cac-30547,PARADIGM INITIATIVE
gb-coh-04154075,PENAL REFORM INTERNATIONAL
us-ein-us-ein-13-2702768,"Pact, Inc"
ke-ncb-ke-ncb-kencbop218051200802235390,Pastoralist Girls Initiative
nl-kvk-41198890,Plan International Netherlands
gb-coh-1364201,Plan International UK
ke-ncb-2180511304359047,Population Services Kenya
gb-coh-871954,Practical Action
gb-coh-07676886,Publish What You Fund
dk-cvr-63407216,Red Barnet
gb-chc-1079752,RedR UK
gb-chc-1098106,Relief International UK
nl-kvk-41152786,SNV Netherlands Development Organisation
nl-kvk-41197577,SOS Children's Villages The Netherlands
gb-chc-1105489,Sabre Education Limited
gb-chc-1076822,Save The Children International
gb-coh-213890,Save The Children UK
nl-kvk-41201463,Save the Children Netherlands
gb-sc-sc012302,Scottish Catholic International Aid Fund
gb-chc-207544,Sightsavers
nl-kvk-72849770,Stichting Beheer Subsidiegelden DRA
nl-kvk-41022454,Stichting Red een Kind
nl-kvk-40594571,Stichting Simavi
nl-kvk-41149486,Stichting Vluchteling
gb-chc-1065705,Survivors Fund (SURF)
se-0,Sweden
ch-4,Swiss Agency for Development and Cooperation (SDC)
nl-kvk-41177385,Tearfund Nederland
nl-kvk-41149287,Terre des Hommes Netherlands
ch-fdjp-che106823242,Terre des hommes - Helping children worldwide - Foundation
gb-chc-1158838,The Freedom Fund (UK)
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria"
gb-coh-877338,The Institute of Development Studies
gb-chc-1050327,The Leprosy Mission England and Wales
nl-kvk-40409352,The Netherlands Red Cross
us-usagov,The federal government of the United States
ke-rco-cpr/2009/5689,TradeMark East Africa
gb-gov-10,UK - Department of Health and Social Care (DHSC)
gb-chc-1166956,UK-Med
xm-dac-41146,UN Women
xm-dac-41122,UNICEF
xm-ocha-cerf,UNOCHA - Central Emergency Response Fund (CERF)
xm-dac-30010,Unitaid
xm-dac-41114,United Nations Development Programme
xm-dac-41304,"United Nations Educational, Scientific and Cultural Organization (UNESCO)"
xm-dac-41121,United Nations High Commissioner for Refugees (UNHCR)
xm-dac-41123,United Nations Industrial Development Organization
41aaa,United Nations Office for Project Services
xm-ocha-cbpf,United Nations Office for the Coordination of Humanitarian Affairs
xm-dac-41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East
us-gov-1,United States Agency for International Development (USAID)
nl-kvk-41215393,War Child Holland
gb-chc-1071659,War Child UK
gb-chc-1160263,WasteAid UK
de-cr-ra000217-hrb157125b,Wayamo Foundation
gb-chc-1125217,Welbodi Partnership
lk-drc-ga139,Women's Fund Asia
44000,World Bank
xi-iati-wbtf,World Bank Trust Funds (WBTF)
xm-dac-41140,World Food Programme
xm-dac-928,World Health Organization
gb-chc-290767,World Jewish Relief
xi-iati-wvdrc,World Vision DRC
de-cr-ra000209-vr1207,World Vision Germany
us-ein-95-3202116,World Vision International
nl-kvk-41179943,World Vision Netherlands
gb-chc-285908,World Vision United Kingdom
gb-coh-06735120,Worldwide Hospice and Palliative Care Alliance
nl-kvk-41009723,ZOA
gb-coh-rc000749,Zoological Society of London
gb-chc-265464,tearfund
