Month,Reporting org id,Reporting org name,Reporting org type,Sector,Recipient country,Humanitarian?,Strict?,Transaction type,Activity id,Net money,Total money
#date+month,#org+id,#org+name,#org+type,#sector,#country,#indicator+bool+humanitarian,#indicator+bool+strict,#x_transaction_type,#activity+code,#value+net,#value+total
2021-01,es-cif-g81164105,ACTION AGAINST HUNGER SPAIN,21,Basic nutrition,Burkina Faso,1,1,commitments,ES-CIF-G81164105-R2G-ACF-BurkinaFaso,0,27831
2021-01,es-cif-g81164105,ACTION AGAINST HUNGER SPAIN,21,Basic nutrition,Burkina Faso,1,1,spending,ES-CIF-G81164105-R2G-ACF-BurkinaFaso,0,27831
2021-01,es-cif-g81164105,ACTION AGAINST HUNGER SPAIN,21,Basic nutrition,Spain,1,0,commitments,ES-CIF-G81164105-R2G_ACFSpainHQ,0,629636
2021-01,es-cif-g81164105,ACTION AGAINST HUNGER SPAIN,21,Basic nutrition,Spain,1,0,spending,ES-CIF-G81164105-R2G_ACFSpainHQ,0,629636
2021-01,es-cif-g81164105,ACTION AGAINST HUNGER SPAIN,21,Basic nutrition,Spain,1,0,spending,ES-CIF-G81164105-R2G_ACFSpainHQ,0,15885
2021-01,es-cif-g81164105,ACTION AGAINST HUNGER SPAIN,21,Basic nutrition,Uganda,1,1,commitments,ES-CIF-G81164105-R2G-ACF-Uganda,0,49506
2021-01,es-cif-g81164105,ACTION AGAINST HUNGER SPAIN,21,Basic nutrition,Uganda,1,1,spending,ES-CIF-G81164105-R2G-ACF-Uganda,0,49506
2021-01,dac-1601,Bill and Melinda Gates Foundation,60,Agricultural development,India,0,0,commitments,DAC-1601-INV-019063,315799,315799
2021-01,dac-1601,Bill and Melinda Gates Foundation,60,Agricultural development,India,0,0,spending,DAC-1601-INV-019063,315799,315799
2021-01,xi-iati-ec_intpa,European Commission - International Partnerships,15,Household food security programmes,Cambodia,0,1,spending,XI-IATI-EC_INTPA-2020/421-973,1990910,1990910
2021-01,xm-ochas-hpc6770,King Salman Humanitarian Aid and Relief Centre,10,Food assistance,Djibouti,1,0,spending,XM-OCHAS-HPC6770-5663,208082,208082
2021-01,xm-ochas-hpc6770,King Salman Humanitarian Aid and Relief Centre,10,Food assistance,Uzbekistan,1,0,spending,XM-OCHAS-HPC6770-5652,10,10
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Egypt,0,0,spending,NL-KVK-51756811-SAF-PR-003196,-1980,-4862
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Egypt,0,0,spending,NL-KVK-51756811-SAF-PR-003196,-1980,-4862
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Egypt,0,0,spending,NL-KVK-51756811-SAF-PR-003196,-576,-1415
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Egypt,0,0,spending,NL-KVK-51756811-SAF-PR-003196,-576,-1415
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Egypt,0,0,spending,NL-KVK-51756811-SAF-PR-003196,-107,-264
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Egypt,0,0,spending,NL-KVK-51756811-SAF-PR-003196,-107,-264
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Egypt,0,0,spending,NL-KVK-51756811-SAF-PR-003196,107,264
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Egypt,0,0,spending,NL-KVK-51756811-SAF-PR-003196,107,264
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Egypt,0,0,spending,NL-KVK-51756811-SAF-PR-003196,576,1415
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Egypt,0,0,spending,NL-KVK-51756811-SAF-PR-003196,576,1415
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Egypt,0,0,spending,NL-KVK-51756811-SAF-PR-003196,1980,4862
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Egypt,0,0,spending,NL-KVK-51756811-SAF-PR-003196,1980,4862
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Egypt,0,0,spending,NL-KVK-51756811-SAF-PR-003196,1980,4862
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Ghana,0,0,spending,NL-KVK-51756811-WAF-PR-002942,0,2458
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Ghana,0,0,spending,NL-KVK-51756811-WAF-PR-003274,0,645
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Guatemala,0,0,spending,NL-KVK-51756811-CAM-PR-001767,-3560,-4447
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Guatemala,0,0,spending,NL-KVK-51756811-CAM-PR-001767,-2656,-3318
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Guatemala,0,0,spending,NL-KVK-51756811-CAM-PR-001767,-972,-1214
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Guatemala,0,0,spending,NL-KVK-51756811-CAM-PR-001767,-555,-694
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Guatemala,0,0,spending,NL-KVK-51756811-CAM-PR-001767,-429,-536
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Guatemala,0,0,spending,NL-KVK-51756811-CAM-PR-001767,10,13
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Guatemala,0,0,spending,NL-KVK-51756811-CAM-PR-001767,52,65
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Guatemala,0,0,spending,NL-KVK-51756811-CAM-PR-001767,128,159
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Guatemala,0,0,spending,NL-KVK-51756811-CAM-PR-001767,131,164
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Guatemala,0,0,spending,NL-KVK-51756811-CAM-PR-001767,151,188
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Guatemala,0,0,spending,NL-KVK-51756811-CAM-PR-001767,221,275
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Guatemala,0,0,spending,NL-KVK-51756811-CAM-PR-001767,335,418
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Guatemala,0,0,spending,NL-KVK-51756811-CAM-PR-001767,429,536
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Guatemala,0,0,spending,NL-KVK-51756811-CAM-PR-001767,555,694
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Guatemala,0,0,spending,NL-KVK-51756811-CAM-PR-001767,763,953
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Guatemala,0,0,spending,NL-KVK-51756811-CAM-PR-001767,972,1214
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Guatemala,0,0,spending,NL-KVK-51756811-CAM-PR-001767,1739,2173
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Guatemala,0,0,spending,NL-KVK-51756811-CAM-PR-001767,2375,2967
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Guatemala,0,0,spending,NL-KVK-51756811-CAM-PR-001767,2622,3275
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Guatemala,0,0,spending,NL-KVK-51756811-CAM-PR-001767,2656,3318
2021-01,nl-kvk-51756811,Solidaridad,21,Agricultural development,Guatemala,0,0,spending,NL-KVK-51756811-CAM-PR-001767,2656,3318
